Station,Year,Month,AVG_Monthly_Min_Temp,AVG_Monthly_Max_Temp,AVG_Monthly_Rainfall,AVG_Monthly_Sunshine,AVG_Monthly_Humidity
Cox's Bazar,1966,2,17.0,28.0,0.0,9.1,71.0
Cox's Bazar,1966,3,19.8,28.8,3.0,6.3,75.0
Cox's Bazar,1966,4,23.7,30.6,1.0,9.6,78.0
Cox's Bazar,1966,5,25.5,31.9,2.0,7.1,82.0
Cox's Bazar,1966,6,24.1,28.5,48.0,1.3,89.0
Cox's Bazar,1966,7,24.8,29.2,20.0,3.2,84.0
Cox's Bazar,1966,8,24.4,28.3,34.0,2.4,88.0
Cox's Bazar,1966,8,24.4,28.3,34.0,2.4,85.0
Cox's Bazar,1966,8,24.4,29.4,34.0,2.4,88.0
Cox's Bazar,1966,8,24.4,29.4,34.0,2.4,85.0
Cox's Bazar,1966,8,24.3,28.3,34.0,2.4,88.0
Cox's Bazar,1966,8,24.3,28.3,34.0,2.4,85.0
Cox's Bazar,1966,8,24.3,29.4,34.0,2.4,88.0
Cox's Bazar,1966,8,24.3,29.4,34.0,2.4,85.0
Cox's Bazar,1966,9,22.8,29.8,12.0,6.5,79.0
Cox's Bazar,1966,10,21.4,29.6,6.0,7.5,73.0
Cox's Bazar,1966,11,17.1,25.9,2.0,9.1,71.0
Dhaka,1966,1,20.5,29.5,0.0,7.8,76.0
Dhaka,1966,2,20.6,29.6,0.0,9.1,76.0
Dhaka,1966,3,20.6,29.6,0.0,8.3,76.0
Dhaka,1966,4,23.6,35.4,1.0,9.0,64.0
Dhaka,1966,5,24.9,34.2,4.0,8.7,69.0
Dhaka,1966,6,25.2,30.2,9.0,3.9,84.0
Dhaka,1966,7,25.5,30.6,9.0,6.0,83.0
Dhaka,1966,8,25.7,30.2,7.0,5.7,84.0
Dhaka,1966,9,25.0,30.1,16.0,5.9,83.0
Dhaka,1966,10,22.1,29.4,9.0,8.0,80.0
Dhaka,1966,11,19.0,28.4,1.0,8.0,73.0
Dhaka,1966,12,13.8,24.7,1.0,8.7,74.0
Sylhet,1966,1,13.0,24.2,0.0,7.5,74.0
Sylhet,1966,2,15.5,28.5,0.0,9.3,63.0
Sylhet,1966,3,18.1,30.2,1.0,7.4,63.0
Sylhet,1966,4,20.6,32.0,7.0,8.3,70.0
Sylhet,1966,5,20.7,29.7,0.0,6.5,77.0
Sylhet,1966,6,23.3,27.9,13.0,2.1,86.0
Sylhet,1966,7,24.6,29.7,36.0,4.4,85.0
Sylhet,1966,8,24.7,29.5,32.0,3.5,87.0
Sylhet,1966,9,24.0,30.3,16.0,5.2,83.0
Sylhet,1966,10,20.7,29.0,1.0,8.2,79.0
Sylhet,1966,11,20.9,29.9,0.0,7.7,77.0
Sylhet,1966,12,20.9,29.9,0.0,9.1,77.0
Barisal,1967,1,20.5,29.5,1.0,6.2,75.0
Barisal,1967,2,17.7,29.5,0.0,7.2,72.0
Barisal,1967,3,18.7,29.5,2.0,7.2,74.0
Barisal,1967,4,21.4,32.1,4.0,7.6,72.0
Barisal,1967,5,24.0,32.4,3.0,7.1,78.0
Barisal,1967,6,24.8,31.1,5.0,5.4,85.0
Barisal,1967,7,23.7,29.8,9.0,4.0,88.0
Barisal,1967,8,24.7,29.6,8.0,4.1,88.0
Barisal,1967,9,24.6,29.6,19.0,3.8,87.0
Barisal,1967,10,22.4,29.9,12.0,7.4,81.0
Barisal,1967,11,15.4,27.4,0.0,8.7,75.0
Barisal,1967,12,13.8,26.4,0.0,6.6,73.0
Chittagong,1967,1,15.7,25.1,1.0,7.1,76.0
Chittagong,1967,2,16.8,27.6,0.0,9.0,76.0
Chittagong,1967,3,19.9,29.1,1.0,7.5,73.0
Chittagong,1967,4,22.4,30.8,4.0,7.5,75.0
Chittagong,1967,5,24.4,31.7,3.0,7.3,76.0
Chittagong,1967,6,25.0,30.9,7.0,5.5,82.0
Chittagong,1967,7,24.9,30.1,9.0,5.2,82.0
Chittagong,1967,8,24.6,30.0,15.0,5.4,83.0
Chittagong,1967,9,24.2,29.4,11.0,5.2,83.0
Chittagong,1967,10,23.1,29.8,8.0,9.0,79.0
Chittagong,1967,11,17.4,27.6,0.0,10.3,72.0
Chittagong,1967,12,15.1,26.2,0.0,9.6,74.0
Cox's Bazar,1967,1,16.5,25.5,2.0,7.1,74.0
Cox's Bazar,1967,2,16.6,27.0,0.0,9.7,70.0
Cox's Bazar,1967,3,20.0,28.5,0.0,8.7,71.0
Cox's Bazar,1967,4,22.6,30.6,2.0,9.0,75.0
Cox's Bazar,1967,5,24.4,30.8,3.0,8.2,76.0
Cox's Bazar,1967,6,24.8,29.4,23.0,5.1,83.0
Cox's Bazar,1967,7,24.5,28.5,32.0,4.5,85.0
Cox's Bazar,1967,8,24.3,28.2,29.0,4.4,87.0
Cox's Bazar,1967,8,24.3,28.2,29.0,4.4,86.0
Cox's Bazar,1967,8,24.3,28.4,29.0,4.4,87.0
Cox's Bazar,1967,8,24.3,28.4,29.0,4.4,86.0
Cox's Bazar,1967,8,24.2,28.2,29.0,4.4,87.0
Cox's Bazar,1967,8,24.2,28.2,29.0,4.4,86.0
Cox's Bazar,1967,8,24.2,28.4,29.0,4.4,87.0
Cox's Bazar,1967,8,24.2,28.4,29.0,4.4,86.0
Cox's Bazar,1967,10,23.3,29.4,10.0,8.9,81.0
Cox's Bazar,1967,11,18.0,27.8,0.0,10.5,71.0
Cox's Bazar,1967,12,16.3,26.5,0.0,9.6,72.0
Dhaka,1967,1,12.5,24.5,0.0,7.8,68.0
Dhaka,1967,2,15.6,28.4,0.0,8.6,63.0
Dhaka,1967,3,18.8,29.5,6.0,7.6,68.0
